{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026190000000000001, 'M1': 0.5, 'r2': 0.516}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026179999999999998, 'M1': 0.5, 'r2': 0.517}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.518}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
