{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00069999999999999999, 'r2': 0.509, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00080999999999999996, 'r2': 0.51, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00093000000000000005, 'r2': 0.511, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 5.0000000000000002e-05, 'r2': 0.513, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00017000000000000001, 'r2': 0.514, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00029, 'r2': 0.515, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00040000000000000002, 'r2': 0.516, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00051999999999999995, 'r2': 0.517, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00064000000000000005, 'r2': 0.518, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00075000000000000002, 'r2': 0.519, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00085999999999999998, 'r2': 0.52, '_': '____________________________________', 'M1': 0.92000000000000004}
{'delta': 0.00085999999999999998, 'r2': 0.52, '_': '____________________________________', 'M1': 0.92000000000000004}
