{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.031710000000000002, 'M1': 0.1, 'r2': 0.512}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.03168, 'M1': 0.1, 'r2': 0.513}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031640000000000001, 'M1': 0.1, 'r2': 0.514}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
